title,url
300年紡いだ「丹後ちりめん」を未来につなげる伝統と革新。モノづくりに関われる与謝野町暮らしの魅力,
「この風景を失いたくない」日本一短い定期航路の船頭を急募！古い町並みで新たな取組みが進む呉市音戸町,
奈良のへそ・黒滝村で吉野杉透かし彫り工芸を継承～森を守り伝統を受け継ぐ仕組み,
廃校を活用した自然や食の体験施設「ユクサおおすみ海の学校」から広がる地域づくり,
起業家目線でのサポート体制が整う、まるまるまるもりプロジェクト,
青森・平内町の駅前でUターン者が営む小さなパン屋さん。移住農家とコラボ商品も販売,
暮らす場所をじぶんごと化できる豊かさ。日本一小さな村で取り組む子育てとしごと,
森林の効果を使って産業を創出し、地方を豊かにする、新たな挑戦,
地域の現場から見る 地方創生×働き方改革の今までとこれから,
ふるさと納税の返礼品にも！森で地域も日本も元気にする長野県信濃町の森林セラピー,
野根川を保全し、海陽町・東洋町、2町の連携による「南四国活性化プロジェクト」,
村民がゾンビに？！小さな村のユニークな村興し「ゾンビ村コスゲ」,
【締め切り迫る！】地銀におけるデータ分析のアプローチを検討せよ！,
データ利活用による地銀の課題解決にサンカク！〜オンライン開催～,
世界の暮らしの営みを受け継いでいく「世界農業遺産」,
福島にオーガニックコットンのあかりを灯す「コットン・ランプシェード プロジェクト」,
東京都62区市町村、それぞれを代表する特産品が勢ぞろい！東京の特産品販売店「TOKYO GIFTS 62」がオープン,
おうち時間のお供に、かほくらしECサイトオープン,
地域プロモーションを考える,
豊かな自然に囲まれて住まいの価値を見つめ直す“タイニーハウス”の小さな暮らし。,
人とまちをつないで、ふるさと萩をもっとワクワクする場所に。,
テレワークなら三戸町！お試しオフィス管理人がすすめる三戸暮らしの魅力,
人が集い、つながる場所にしたい。鹿角市でボルダリングジム＆カフェ「アンロシェ」をオープン,
首都圏と地元の親子が交流するきっかけに。シナノユキアソビ！【長野県信濃町現地ツアーレポート】,
岩手・花巻市の食材をマッチング・PRする「花巻く、花巻。～岩手県花巻に出会う日～」が開催されました！【イベントレポート】,
猫のアート展 商店街盛り上げ 金沢・横安江 松岡さんら作品,https://news.yahoo.co.jp/articles/f65082dfc86ed38c002817ec794266f23913b81c
愛され１０周年 市公式キャラ とまチョップ 節目祝う記念事業を計画 人気者に成長、道外にもファン,https://news.yahoo.co.jp/articles/19c21d99c3033bd027a8e63ab932da6e9b806360
震災で無人になった南相馬市小高地区。ゼロからのまちおこしが実を結ぶ,https://news.yahoo.co.jp/articles/e07d01f41ab43bbbfe62c42736a3e0c418518f44
「明石焼きをご家庭で」と販路を拡大 新たな食文化を見据える「あかし玉子焼ひろめ隊」隊長,https://news.yahoo.co.jp/articles/72714bb4b3bed25b8a1d4798d5922a03f0d5a268
意外性が魅力生む １年余りで２０万人を集客 「むろと廃校水族館」,https://www.47news.jp/localnews/chiikisaisei-report/3560026.html
通りに活気が復活 起業支援など新たな活動も 「沼垂テラス商店街（テラスオフィス）」,https://www.47news.jp/localnews/chiikisaisei-report/3477854.html
伝統の旅館を拠点ににぎわいを 地域挙げて寺子屋も開催 「松原宿活性化協議会」,https://www.47news.jp/localnews/chiikisaisei-report/3403970.html
外国人客を呼び込め、伝統の温泉街ににぎわい 「WAKUWAKUやまのうち」,https://www.47news.jp/localnews/chiikisaisei-report/2577995.html
記憶から消えた廃線を宝に、もったいないとの思いが力 「愛岐トンネル群保存再生委員会」,https://www.47news.jp/localnews/chiikisaisei-report/2436138.html
ゆっくり走る電動バス、住民の足守る 「桐生再生」,https://www.47news.jp/localnews/chiikisaisei-report/2211963.html
伝統の景観守り、ゲストハウスに再生も 「黒江の町並みを活かした景観づくり協定＝黒江ＪＡＰＡＮ」,https://www.47news.jp/localnews/chiikisaisei-report/763882.html
廃校を拠点に子どもたちが自然満喫 「大杉谷自然学校」,https://www.47news.jp/localnews/chiikisaisei-report/763745.html
団地を再生、ＤＩＹでまちを元気に 「ちば地域再生リサーチ」,https://www.47news.jp/localnews/chiikisaisei-report/1008591.html
アイデア重ね、温泉街に活気 「ハットウ・オンパク」,https://www.47news.jp/localnews/chiikisaisei-report/763859.html
「生の音楽」を街に 瀬戸内の海と空が演出,https://www.47news.jp/localnews/chiikisaisei-report/1432591.html
手作りの映画で魅力を発信、自前の劇場もオープン 「カミスガプロジェクト」,https://www.47news.jp/localnews/chiikisaisei-report/2495214.html
山の中にステージ、音楽や農業で地域に活気を 「きみかげの森」,
徳島県に浮かぶ小さな島から生まれた帆布鞄,http://jimoto-b.com/3619
【空き家 +plus】地域の空き家が、わくわくの発信地になるように,http://jimoto-b.com/7795
東京と千葉県南房総市の二地域交流,
【NPO農音】農業と音楽で地域を結ぶ,http://jimoto-b.com/5574
アートで地元を変えていく,http://jimoto-b.com/5109
【古民家ゲストハウス とある宿】人と地域と文化とふれあう旅づくり,http://jimoto-b.com/5059
「地域おこし協力隊」という名の生業》地方から社会を変える切り札「地域おこし協力隊」ってご存知ですか？,http://jimoto-b.com/4286
「ほんとうの熊野」を知ってもらって地方振興につなげたい！それに挑む地元ガイド・コミュニティ,http://jimoto-b.com/2980
【カミイチ かみふなかクラフト市】地元の人とモノ、人と人をつなげるクラフト市を！,http://jimoto-b.com/696
【西湘をあそぶ会】「あそび」の持っているチカラで、人や経済を元気に！,http://jimoto-b.com/612
【童心に蛙】自然の中でおもいっきり遊ぼう！「楽しむ」という方向から地域を活性化！,http://jimoto-b.com/127
【山形屋台村ほっとなる横丁】屋台によるまちづくり,http://jimoto-b.com/240
【芦川ぷらす】双子姉妹で始めた村おこし！ 都会人に第2のふるさとを作るムラオコシ。,http://jimoto-b.com/44
【東京ひのはら村ゲストハウス へんぼり堂】すべてがつながり、つどえる「バショ」,http://jimoto-b.com/38
【移住カフェ】日本一人口が少ない県で育った移住者と地域住民をつなぐコミュニティ,http://jimoto-b.com/376
できることからアクションを！,https://colocal.jp/topics/lifestyle/scenery/20210228_139305.html
お手本としている神山町。小さなまちから学んだ地域のあり方を鹿児島県・川辺に生かす,https://colocal.jp/topics/think-japan/sakaguchi/20210224_139247.html
前橋〈白井屋ホテル〉で建築とアートを堪能。まちづくりの新拠点となる！,https://colocal.jp/topics/think-japan/local-action/20210219_139228.html
