,title,len
0,"['300', '年', '紡い', '丹後', 'ちり', 'めん', '未来', 'つなげる', '伝統', '革新', 'モノ', 'づくり', '関わ', '与謝野', '町', '暮らし', '魅力']",17
1,"['風景', '失い', '日本一', '短い', '定期', '航路', '船頭', '急募', '古い', '町並み', '新た', '取組み', '進む', '呉', '市', '音戸', '町']",17
2,"['奈良', 'へそ', '黒滝', '村', '吉野', '杉', '透かし', '彫り', '工芸', '継承', '～', '森', '守り', '伝統', '受け継ぐ', '仕組み']",16
3,"['廃校', '活用', 'し', '自然', '食', '体験', '施設', 'ユクサ', 'すみ', '海', '学校', '広がる', '地域', 'づくり']",14
4,"['起業', '家', '目線', 'サポート', '体制', '整う', 'まるまる', 'もり', 'プロジェクト']",9
5,"['青森', '平内', '町', '駅前', 'U', 'ターン', '者', '営む', 'パン', '屋', 'さん', '移住', '農家', 'コラボ', '商品', '販売']",16
6,"['暮らす', '場所', 'ぶん', 'ごと', '化', 'できる', '豊か', 'さ', '日本一', '村', '取り組む', '子育て', 'し', 'ごと']",14
7,"['森林', '効果', '使っ', '産業', '創出', 'し', '地方', '豊か', 'する', '新た', '挑戦']",11
8,"['地域', '現場', '見る', '地方', '創', '生', '働き', '方', '改革', '今', 'これから']",11
9,"['ふるさと', '納税', '返礼', '品', '森', '地域', '日本', '元気', 'する', '長野', '県', '信濃', '町', '森林', 'セラピー']",15
10,"['野根川', '保全', 'し', '海陽', '町', '東洋', '町', '2', '町', '連携', '南', '四国', '活性', '化', 'プロジェクト']",15
11,"['村民', 'ゾンビ', '村', 'ユニーク', '村', '興し', 'ゾンビ', '村', 'コスゲ']",9
12,"['締め切り', '迫る', '地銀', 'データ', '分析', 'アプローチ', '検討', 'せよ']",8
13,"['データ', '利', '活用', '地銀', '課題', '解決', 'サンカク', 'オンライン', '開催', '～']",10
14,"['世界', '暮らし', '営み', '受け継い', 'いく', '世界', '農業', '遺産']",8
15,"['福島', 'オーガニックコットン', 'あかり', '灯す', 'コットン', 'ランプ', 'シェード', 'プロジェクト']",8
16,"['東京', '都', '62', '区', '市町村', 'それぞれ', '代表', 'する', '特産', '品', '勢ぞろい', '東京', '特産', '品', '販売', '店', 'TOKYO', 'GIFTS', '62', 'オープン']",20
17,"['うち', '時間', 'お供', 'ほ', 'くらし', 'EC', 'サイト', 'オープン']",8
18,"['地域', 'プロモーション', '考える']",3
19,"['豊か', '自然', '囲ま', '住まい', '価値', '見つめ', '直す', 'タイニーハウス', '暮らし']",9
20,"['人', 'まち', 'つない', 'ふるさと', '萩', 'もっと', 'ワクワク', 'する', '場所']",9
21,"['テレワーク', '三戸', '町', '試し', 'オフィス', '管理', '人', 'すすめる', '三', '戸', '暮らし', '魅力']",12
22,"['人', '集い', 'つながる', '場所', 'し', '鹿角', '市', 'ボルダリングジム', 'カフェ', 'アンロシェ', 'オープン']",11
23,"['首都', '圏', '地元', '親子', '交流', 'する', 'きっかけ', 'シナノユキアソビ', '長野', '県', '信濃', '町', '現地', 'ツアー', 'レポート']",15
24,"['岩手', '花巻', '市', '食材', 'マッチング', 'PR', 'する', '花', '巻く', '花巻', '～', '岩手', '県', '花巻', '出会う', '日', '～」', '開催', 'さ', 'イベント', 'レポート']",21
25,"['猫', 'アート', '展', '商店', '街', '盛り上げ', '金沢', '横', '安江', '松岡', 'さん', 'ら', '作品']",13
26,"['愛さ', '１', '０', '周年', '市', '公式', 'キャラ', 'チョップ', '節目', '祝う', '記念', '事業', '計画', '人気', '者', '成長', '道外', 'ファン']",18
27,"['震災', '無人', 'なっ', '南', '相馬', '市', '小高', '地区', 'ゼロ', 'まち', 'おこし', '実', '結ぶ']",13
28,"['明石', '焼き', '家庭', '販路', '拡大', '新た', '食', '文化', '見据える', 'あかし', '玉子', '焼', 'ひろめ', '隊', '隊長']",15
29,"['意外', '性', '魅力', '生む', '１', '年', '余り', '２', '０', '万', '人', '集客', 'むろと', '廃校', '水族館']",15
30,"['通り', '活気', '復活', '起業', '支援', '新た', '活動', '沼垂', 'テラス', '商店', '街', 'テラス', 'オフィス']",13
31,"['伝統', '旅館', '拠点', 'にぎわい', '地域', '挙げ', '寺子屋', '開催', '松原', '宿', '活性', '化', '協議', '会']",14
32,"['外国', '人', '客', '呼び込め', '伝統', '温泉', '街', 'にぎわい', 'WAKUWAKU', 'うち']",10
33,"['記憶', '消え', '廃', '線', '宝', 'もったいない', '思い', '力', '愛', '岐', 'トンネル', '群', '保存', '再生', '委員', '会']",16
34,"['ゆっくり', '走る', '電動', 'バス', '住民', '足', '守る', '桐生', '再生']",9
35,"['伝統', '景観', '守り', 'ゲストハウス', '再生', '黒江', '町並み', '活かし', '景観', 'づくり', '協定', '黒江', 'ＪＡＰＡＮ']",13
36,"['廃校', '拠点', '子ども', 'たち', '自然', '満喫', '大杉谷', '自然', '学校']",9
37,"['団地', '再生', 'ＤＩＹ', 'まち', '元気', 'ち', '地域', '再生', 'リサーチ']",9
38,"['アイデア', '重ね', '温泉', '街', '活気', 'ハットウ・オンパク']",6
39,"['生', '音楽', '街', '瀬戸内', '海', '空', '演出']",7
40,"['手作り', '映画', '魅力', '発信', '自前', '劇場', 'オープン', 'カミスガプロジェクト']",8
41,"['山', '中', 'ステージ', '音楽', '農業', '地域', '活気', 'きみ', 'かげ', '森']",10
42,"['徳島', '県', '浮かぶ', '島', '生まれ', '帆布', '鞄']",7
43,"['空き家', '+', 'plus', '地域', '空き家', 'わくわく', '発信', '地', 'なる', 'よう']",10
44,"['東京', '千葉', '県', '南', '房総', '市', '二', '地域', '交流']",9
45,"['NPO', '農', '音', '農業', '音楽', '地域', '結ぶ']",7
46,"['アート', '地元', '変え', 'いく']",4
47,"['民家', 'ゲストハウス', '宿', '人', '地域', '文化', 'ふれあう', '旅', 'づくり']",9
48,"['地域おこし', '協力', '隊', '名', '生業', '地方', '社会', '変える', '切り札', '地域おこし', '協力', '隊', 'ご存知']",13
49,"['ほんとう', '熊野', '知っ', 'もらっ', '地方', '振興', 'つなげ', 'それ', '挑む', '地元', 'ガイド', 'コミュニティ']",12
50,"['カミイチ', 'かみ', 'ふ', 'なか', 'クラフト', '市', '地元', '人', 'モノ', '人', '人', 'つなげる', 'クラフト', '市']",14
51,"['西', '湘', 'あそぶ', '会', 'あそび', '持っ', 'いる', 'チカラ', '人', '経済', '元気']",11
52,"['童心', '蛙', '自然', '中', 'おもい', 'っきり', '遊ぼ', '楽しむ', '方向', '地域', '活性', '化']",12
53,"['山形', '屋台', '村', 'ほっと', 'なる', '横丁', '屋台', 'まち', 'づくり']",9
54,"['芦川', 'ぷらす', '双子', '姉妹', '始め', '村', 'おこし', '都会人', '2', 'ふるさと', '作る', 'ムラオコシ']",12
55,"['東京', 'ひ', 'はら', '村', 'ゲストハウス', 'へん', 'ぼり', '堂', 'すべて', 'つながり', 'つどえる', 'バショ']",12
56,"['移住', 'カフェ', '日本', '一人口', '少ない', '県', '育っ', '移住', '者', '地域', '住民', 'つなぐ', 'コミュニティ']",13
57,"['できる', 'こと', 'アクション']",3
58,"['お手本', 'し', 'いる', '神山', '町', 'まち', '学ん', '地域', 'あり方', '鹿児島', '県', '川辺', '生かす']",13
59,"['前橋', '白井', '屋', 'ホテル', '建築', 'アート', '堪能', 'まち', 'づくり', '拠点', 'なる']",11
