,title,len,tag
0,"['授業', '動画', 'アップ', '学習', '効果', '生徒', '活用', '事例']",8,0
1,"['これから', '社会', '必要', 'ソフト', 'スキル', 'WWL', '拠点', 'コロナ', '禍', '世界', 'つながる', 'リーダーシップ', '教育', '挑戦']",14,0
2,"['自由', 'ポジティブ', 'フィンランド', '教育', '実態', '魅力', '課題', 'フィンランド', '小中学校', '現地', 'レポート']",11,1
3,"['授業', '動画', 'Google', 'ドライブ', 'アップ', 'しよ', '生徒', '共有']",8,0
4,"['Google', 'for', 'Education', '機能', '発表', '名称', '変更', '有料', 'オプション', '追加']",10,0
5,"['学習', 'ノート', '共有', 'サービス', 'Clear', '提供', 'CLEAR', 'コクヨ', 'グループ', '参加']",10,0
6,"['授業', '動画', 'コンテンツ', 'やっ', '撮影', '学校', '現場', 'すぐ', '手順', '紹介']",10,0
7,"['授業', '撮影', '3500', '本', '授業', '動画', 'アップ', 'ねらい', '効果']",9,0
8,"['講義', 'オンライン', 'もたらし', '恩恵', '反転', '授業', '実践', 'むけ']",8,0
9,"['大人', '子ども', '良い', 'フォーカス', 'アプローチ', 'フィンランド', '教育', '現場', '見る', 'ヒント']",10,0
10,"['プログラミング', 'SDGs', '広めよ', '総合', '学習', '実践']",6,0
11,"['AI', '教材', 'atama', 'plus', '立', '命', '館', '連携', '新しい', '高大', '接続', '入試', '在り方', '共同', '研究', '設立']",16,0
12,"['フィンランド', 'ヨーロッパ', '各国', '注目', 'アントレプレナーシップ', '教育', '実態']",7,0
13,"['忙しく', '子ども', 'しっかり', '向き合える', '学校', '違う']",6,0
14,"['オンライン', '環境', '中高生', 'PBL', '支援', '得', '教訓', '教師', '学生', '教え', '支援']",11,0
15,"['企業', '家計', '政府', '知恵', '絞り', '現れる', 'コロナ', '対策', '欠け', '好機', '視点']",11,0
16,"['佐藤', '協', '治', '文教堂', 'グループ', 'ホールディングス', '社長', '地域', '得意', '客', '株主', '書店', '一緒', '築く']",14,1
17,"['最低', '賃金', '引き上げ', '雇用', '減', '時代遅れ', '議論', '捨て', 'なさい']",9,0
18,"['米', '同盟', '大きく', '動かす', 'バイデン', '政権', '軍事', '政策']",8,0
19,"['上旬', '総合', '国土', '空間', '規', '画', '策定', '現代', '版', '万里', '長城', '構築']",12,0
20,"['株式', '資産', '価格', '押し上げ', 'いる', '金利', '量', '議論', '回帰']",9,0
21,"['格差', 'ない', '未来', '創れる', 'イノベーティブ', '公平', '未来', '地球', '燃え', 'いる', '気候', '崩壊', '人類', '救う', 'グリーン', 'ニューディール', '提言']",17,0
22,"['門真', '大阪', ']', 'パナソニック', '城下町', '進化', '期待', '教育', '産業', '住居', '整備', '注ぐ']",12,1
23,"['フルタイム', '働く', '人材', 'よく', 'なっ', 'リモート', '実現', '副業', '人材', '戦略', '活用']",11,0
24,"['石橋', '秀一', 'ブリヂストン', '取締役', '代表', '執行', '役', 'Global', 'CEO', '稼ぐ', '構築', '自動車', '産業', '変化', '勝つ']",15,0
25,"['見え', 'トレンド', 'コロナ', '世界', 'こう', '変わる']",6,0
26,"['始まっ', 'シリコンバレー', 'コロナ', '加速', 'テックジット']",5,0
27,"['いまだ', '残る', '出生', '制限', '緩和', '撤廃', '検討', '子ども', '激減', 'っ子', '政策', '論争']",12,0
28,"['はしゃぎ', 'すぎ', 'スーパー', 'サイクル']",4,0
29,"['医療', '崩壊', '真実', 'サイバーグレートゲーム', '政治', '経済', '技術', 'データ', 'めぐる', '地政学']",10,0
